prompt,target,prediction
"Yes, thanks. [NOTIFY_SUCCESS]","Okay, enjoy your music.","Yes, thanks."
Thank you! [REQ_MORE],Is there anything else I can do for you?,Thank you for your wonderful day!
"No, that's all thanks. [GOODBYE]",Have a great day!,All thanks.
I am interested in listening to some music. Would you search for some songs? [OFFER(track=The Way I am); OFFER(artist=Charlie Puth); OFFER(album=Voicenotes); INFORM_COUNT(count=10)],There are 10 songs I found that you may enjoy. Would you like to hear The Way I am by Charlie Puth? This is from the Voicenotes album.,I would like to listen to some music.
Was this the one published in 2012? [INFORM(year=2018)],"No, it came out in 2018.",Was this published in 2012?
"Oh yes, that is the one I wanted to hear. Please play the song on any device. [CONFIRM(track=The way I Am); CONFIRM(device=Living room)]",Please confirm you would like to hear The way I Am in the Living Room.,The way I Am? I have a song.? the song. I can play it on any device.. I can hear it on any device.... the song is I can play it on any device.
"No, please play it on the speaker in patio. [CONFIRM(track=The way I Am); CONFIRM(device=Patio)]",Please confirm you wish to hear the song The way I Am in the Patio.,Is there anything else I can play?
"Yes, that is right. [NOTIFY_SUCCESS]",Here you go and enjoy your music!,"Yes, that is right."
Would you tell me the genre of this music? [INFORM(genre=Pop)],This is considered a Pop song.,What genre of music?
"Great, thank you for your help! [REQ_MORE]",Do you need assistance with anything today?,Great.
"No, that is all for now. Thanks again! [GOODBYE]",Enjoy and have a great day!,"Sorry, I have a great day!"
"Hey, I feel like listening to some tunes right now. Can you find me something from two years ago? [OFFER(track=Airplane Mode); OFFER(artist=Limbo); OFFER(album=Holo)]",Sure! What about the song Airplane Mode from the album Holo by Limbo?,"Hey, I feel like listening to some tunes right now?"
I love it. [OFFER_INTENT(intent=PlayMedia)],Should I play it?,I love it.
Please do. Cast it on the living room device. [CONFIRM(track=Airplane Mode); CONFIRM(device=Living room)],So you want the song the song Airplane Mode on the Living room device?,Do not cast it on the living room device.
"Actually, cast it on the patio device. [CONFIRM(track=Airplane Mode); CONFIRM(device=Patio)]",So you want me to play the song Airplane Mode on the Patio?,Is there any other way to cast it on the patio device?
"Yes, that's it. What kind of music is it? [INFORM(genre=pop); NOTIFY_SUCCESS]",Enjoy! It's a pop song.,What kind of music is it?
Thanks! That's all. [GOODBYE],Have a great day!,All the good stuff.
I'd like to look for music right now. [OFFER(track=Medicine); OFFER(artist=Jennifer Lopez); OFFER(album=Medicine Remixes)],What is your opinion regarding Medicine by Jennifer Lopez from her album Medicine Remixes?,I'd like to find a song for you right now.
Do you have something else? I enjoy music by Greta Van Fleet. [OFFER(track=Highway Tune); OFFER(artist=Greta Van Fleet); OFFER(album=Black Smoke Rising); INFORM_COUNT(count=1)],I discovered 1 music for you. What is your opinion regarding Highway Tune by Greta Van Fleet from the album Black Smoke Rising?,I have a great time playing Black Smoke Rising by Greta Van Fleet.
"Yeah, that's perfect for me. [OFFER_INTENT(intent=PlayMedia)]",Do you wish to cast this music?,"Yeah, that's perfect for me."
Yup. Play it on patio speaker. [CONFIRM(track=Highway Tune); CONFIRM(device=Patio)],Please verify the following information: cast the music Highway Tune in Patio.,Play it on patio speaker.
Nope; play it on speaker in kitchen. [CONFIRM(track=Highway Tune); CONFIRM(device=Kitchen)],Please verify the following information: cast the music Highway Tune in Kitchen.,Is there anything else I can do?
"Yeah, that's the right one. [NOTIFY_SUCCESS]",Have fun with your song.,"Yeah, that's right."
Thank you for your help; that's all. [GOODBYE],Have a pleasant afternoon.,Thank you for your help.
"Hey, I need some songs. I want some from the album This Is Acting, and I like songs by Sia, and also Popular genre songs. [OFFER(track=Alive); OFFER(artist=Sia); OFFER(album=This Is Acting); INFORM_COUNT(count=5)]",There are 5 songs in this selection. I have found Alive by Sia from the album This Is Acting.,"Hey, I have some songs from The album This Is Acting."
Which year was that released anyway? [INFORM(year=2013)],Its release date is from the year 2013.,Which year was that released anyway?
"Okay, give me that. I want it to play on the patio speaker. [CONFIRM(track=Alive); CONFIRM(device=Patio)]",Please confirm the following details: Play Alive in Patio via speaker. Correct?,"Okay, let me know."
"Yes, that's it! [NOTIFY_SUCCESS]",Enjoy your selection.,[NOTIFY_SUCCESS]
Thank you so much!! [GOODBYE],Of course. Have a wonderful day.,I have a wonderful day!!
"Hello, I want to find songs please, ones like on the album The New Classic. Or tunes from, say, six years back. [OFFER(track=Bounce); OFFER(artist=Iggy Azalea); OFFER(album=The New Classic)]","How about the Iggy Azalea song Bounce, which is from The New Classic album?","Hello, I want to find songs like The New Classic. Or tunes from, say, six years ago."
What other popular songs can you suggest? Those are the ones I like. [OFFER(track=Change Your Life); OFFER(artist=Iggy Azalea); OFFER(album=The New Classic); INFORM_COUNT(count=2)],"There are 2 options you might like. One of them is Change Your Life, which is also from the Iggy Azalea album, The New Classic.",What other popular songs can you suggest?
Anything else that you think is good? [OFFER(track=Work); OFFER(artist=Iggy Azalea); OFFER(album=The New Classic)],Another good Iggy Azalea track from The New Classic is the song Work.,Anything else that you think is good?
"Okay, I like that one the best. [OFFER_INTENT(intent=PlayMedia)]",Shall I play that song for you at this time?,"Okay, I like that one."
"Yes, and please do it in the Living room. [CONFIRM(track=Work); CONFIRM(device=Living room)]",Confirming playback of Work on the Living room speaker.,"Yes, I can do it in the Living Room."
"Sorry, no, do it on the speaker in kitchen instead. [CONFIRM(track=Work); CONFIRM(device=Kitchen)]",Certainly. Confirming kitchen speaker playback of the track Work.,"Sorry, no, do it on the speaker in kitchen instead."
"Right, that's what I'd like. [NOTIFY_SUCCESS]",Please enjoy your selection.,"Right, that's what I'd like to do."
"Thanks, I'm sure I will. [GOODBYE]",You're very welcome. Have a lovely day.,I'm sure I'll do it.
I would like to search for songs at this time. [OFFER(track=Where Have You Been); OFFER(artist=Rihanna); OFFER(album=Talk That Talk)],What do you think about Where Have You Been by Rihanna from the Talk That Talk album?,I would like to search for songs for you.
What year did it come out? [INFORM(year=2011)],It was from 2011.,What year did it come out?
"Yes, that's the one I'd like to play songs so cast it on the speaker outside. [CONFIRM(track=Where Have You Been); CONFIRM(device=Patio)]",Please confirm playing the song Where Have You Been in Patio.,I'd like to play it on the speaker outside.
"Yes, that is the one. [NOTIFY_SUCCESS]",Enjoy the music.,"Yes, that is the one."
Thanks so much. That is it. [GOODBYE],Have a great day.,I have a great day.
I am interested in finding songs. [OFFER(track=houdini); OFFER(artist=Foster The People); OFFER(album=Torches)],Well how about houdini by Foster The People from their album Torches?,I am interested in finding songs that I can find.
Yes sounds good. [OFFER_INTENT(intent=PlayMedia)],Shall I play it?,"Yes, yes, good."
Please in the living room. [CONFIRM(track=Houdini); CONFIRM(device=Living room)],So I am playing the song Houdini in the living room.,Please in the living room.
No actually play it on the kitchen speaker. [CONFIRM(track=Houdini); CONFIRM(device=Kitchen)],To confirm them that is Houdini song playing in the kitchen.,I have a few questions about the music.
Yes thanks. What genre of music is it and when was it released? [INFORM(genre=indie); INFORM(year=2011); NOTIFY_SUCCESS],"It is indie music, released in 2011, I hope you like it.",What genre of music did you like?
thanks so much. [REQ_MORE],Anything else I can assist you with?,I have a great day.
No that is all thanks. [GOODBYE],Enjoy your day.,All thanks.
I am looking for some songs from the album High Expectations from '19. [OFFER(track=Bad Behaviour); OFFER(artist=Mabel); OFFER(album=High Expectations); INFORM_COUNT(count=3)],I found 3 songs. The first song I found is Bad Behaviour by Mabel from the album High Expectations.,I have found some songs from the album High Expectations from '19.
"Yes, that would be great. [OFFER_INTENT(intent=PlayMedia)]",Should I play this song for you?,"Yes, that would be great."
"Yes, please play it in my kitchen, thanks. [CONFIRM(track=Bad Behaviour); CONFIRM(device=Kitchen)]",You would like me to play the song Bad Behaviour in the Kitchen?,"Yes, please play it in my kitchen."
"Yes, please do. [NOTIFY_SUCCESS]",Enjoy the music!,[NOTIFY_SUCCESS]
"Thank you, I'm all set. [GOODBYE]",Have a great day!,"Thank you, I'm all set."
"I want to find a song now, and I know that there are some really good songs in the album called We Are Not Your Kind, also I enjoy Rock-and-roll songs which are from the '19. [OFFER(track=Birth Of The Cruel); OFFER(artist=Slipknot); OFFER(album=We Are Not Your Kind); INFORM_COUNT(count=1)]",There is 1 song which you might like. How would you like listening to the Birth Of The Cruel by Slipknot from the album called We Are Not Your Kind?,I have found a song from The '19 called We Are Not Your Kind.
"Yes, that is the song I want. [OFFER_INTENT(intent=PlayMedia)]",Do you want this song to start playing now?,"Yes, that is the song I want."
"Yes, I do. Play the song on the patio speaker. [CONFIRM(track=Birth Of The Cruel); CONFIRM(device=Patio)]",Can you please confirm that you want to play the son Birth Of The Cruel on the Patio?,"Yes, I do. Play the song on the patio speaker."
"That is not right, because I changed my mind and I want it to be played in my living room. [CONFIRM(track=Birth Of The Cruel); CONFIRM(device=Living room)]",Can you please once again confirm that you want the song Birth Of The Cruel to be played in your Living Room?,I have a room for you to play in.
"Yes, that is what I want. [NOTIFY_SUCCESS]",Have a good time listening to the music,"Yes, that is what I want."
I appreciate it! That would be all. [GOODBYE],Have a wonderful day!,I appreciate it!
I am in a nice mood and I like to listen to nice songs. How do you think about the album Overthinking which contains many good songs and also I like the songs by Shy Martin. Can you search for something from two years ago? [OFFER(track=Good Together); OFFER(artist=Shy Martin); OFFER(album=Overthinking)],"Yes, of-course, what about the song Good Together by Shy Martin from the album Overthinking? Do you like it to listen now?",Shy Martin. I like the songs by Shy Martin.
"Yes, I think I may like to hear this song now. Thanks. [OFFER_INTENT(intent=PlayMedia)]",Shall I play it now for you?,"Yes, I'm listening to this song."
"Yes, play it on Speaker in Kitchen. [CONFIRM(track=Good Together); CONFIRM(device=Kitchen)]",Please confirm to play the song Good Together in Kitchen.,Is there anything else I can play?
"Sorry, please play it for me in the Living room device. [CONFIRM(track=Good Together); CONFIRM(device=Living room)]",give me your confirmation to play the song Good Together in Living room.,?
"Yes, proceed and also let know the type of song. [INFORM(genre=Pop); NOTIFY_SUCCESS]",It is a Pop song and the same was started playing for you now.,"Yes, proceed and let me know the song."
Thanks and that's all for now. [GOODBYE],Have a great day.,..
Can you help me search for some songs? [OFFER(track=Touch); OFFER(artist=Little Mix); OFFER(album=Glory Days); INFORM_COUNT(count=10)],I found 10 songs you may like. How about Touch from the Glory Days album by Little Mix?,Can you help me with your search for some songs?
What kind of music is it and from what year? [INFORM(genre=pop); INFORM(year=2016)],Its a pop song from 2016.,What genre of music is it?
"Okay, I'd like that one. [OFFER_INTENT(intent=PlayMedia)]",Shall I play it now?,"Okay, I'd like to play it."
"Yes, that would be great. [CONFIRM(track=Touch); CONFIRM(device=Living room)]",To verify: you would like to hear the song Touch in the Living room.,"Yes, that would be great."
"No, play it on the patio speaker. [CONFIRM(track=Touch); CONFIRM(device=Patio)]",To confirm: you would like to hear the song Touch on the Patio.,"No, play it on the patio speaker."
